major_index,major_stage,sub_stage,FULLERTON Fresh Flow1(Auto) Leads,FULLERTON Fresh Flow2(Manual) Leads,KSF Fresh Flow1(Auto) Leads,KSF Fresh Flow2(Manual) Leads,MFL Fresh Flow1(Auto) Leads,MFL Fresh Flow2(Manual) Leads,NACL Fresh Flow1(Auto) Leads,NACL Fresh Flow2(Manual) Leads,PIRAMAL Fresh Flow1(Auto) Leads,PIRAMAL Fresh Flow2(Manual) Leads,PYFL Fresh Flow1(Auto) Leads,PYFL Fresh Flow2(Manual) Leads,SHRIRAM Fresh Flow1(Auto) Leads,SHRIRAM Fresh Flow2(Manual) Leads
1001,Unmapped,LRE_PARENT,,,,,,,,,172.0,57.0,,,,
1001,Unmapped,PENNY_DROP_FAILED,,,,,,,,,6.0,1.0,,,,
1001,Unmapped,PENNY_DROP_INITIATED,,,,,,,,,1.0,,,,,
1001,Unmapped,SELFIE_RE_UPLOAD,,,,,,,,,17.0,4.0,,,,
1001,Unmapped,SELFIE_UPLOADING,,,,,,,,,1.0,,,,,
1001,Unmapped,SERVICIBILITY_CHECK,,,,,,,,,3.0,,,,,
1001,Unmapped,SERVICIBILITY_FAILURE,,,,,,,,,295.0,95.0,,,,
1001,Unmapped,SETTLEMENT_BANK_UPDATE_REQUIRED,,,,,,,,,11.0,3.0,,,,
1001,Unmapped,Subtotal,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13603.0,3570.0,4.0,2.0,0.0,0.0
1001,Subtotal,,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13603.0,3570.0,4.0,2.0,0.0,0.0
1002,Unmapped,LENDER_KFS_FETCH_SUCCESS,,,,,1.0,,,,,,,,,
1002,Unmapped,RE_SUBMIT_SETTLEMENT_BANK,19.0,6.0,,,,,1.0,,,,,,,
1002,Unmapped,Subtotal,19.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,Subtotal,,19.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total (Sum),,,21878.0,14324.0,10725.0,6604.0,2092.0,925.0,2835.0,1477.0,21031.0,7473.0,4691.0,3053.0,6831.0,3044.0
